"Laikotarpis","Rodiklis","Tipas","Lytis","Sektorius","Matavimo vienetai","Reikšmė"
"2000","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR","281.2"
"2000","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Viešasis sektorius","EUR","311.9"
"2000","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR","254.3"
"2000","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"2000","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Viešasis sektorius","EUR",
"2000","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"2000","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"2000","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Viešasis sektorius","EUR",
"2000","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"2001","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR","284.5"
"2001","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Viešasis sektorius","EUR","317.9"
"2001","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR","257.2"
"2001","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"2001","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Viešasis sektorius","EUR",
"2001","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"2001","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"2001","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Viešasis sektorius","EUR",
"2001","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"2002","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR","293.6"
"2002","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Viešasis sektorius","EUR","328.4"
"2002","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR","268.1"
"2002","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"2002","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Viešasis sektorius","EUR",
"2002","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"2002","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"2002","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Viešasis sektorius","EUR",
"2002","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"2003","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR","310.6"
"2003","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Viešasis sektorius","EUR","347.7"
"2003","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR","285.2"
"2003","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Šalies ūkis su individualiosiomis įmonėmis","EUR",
